suite,scenario,controller,runs,success_count,success_rate,handoff_rate,settling_time_median,overshoot_deg_median,steady_state_error_deg_median,control_effort_median,first_balance_time_median,min_abs_theta_deg_median,balance_fraction_median,invalid_rate,track_violation_rate
nominal,full_task_hanging,Feedback Linearization (PFL),5,0,0.0,0.0,,179.8672010162447,134.39442826570027,59.312235040394235,,93.92155684446907,0.0,0.0,1.0
nominal,full_task_hanging,LQR,5,0,0.0,0.0,,179.8672010162447,134.39442826570027,59.312235040394235,,93.92155684446907,0.0,0.0,1.0
nominal,full_task_hanging,Sliding Mode Control (SMC),5,0,0.0,0.0,,179.8672010162447,134.39442826570027,59.312235040394235,,93.92155684446907,0.0,0.0,1.0
nominal,local_small_angle,Feedback Linearization (PFL),5,5,1.0,1.0,5.02,10.222685712619898,0.07110568848909661,7.828728452535297,0.15000000000000002,0.001228613433602487,0.9812734082397003,0.0,0.0
nominal,local_small_angle,LQR,5,5,1.0,1.0,2.53,10.107950302028671,0.0006983657158252857,12.121815103339674,0.15000000000000002,4.236410393389266e-05,0.9812734082397003,0.0,0.0
nominal,local_small_angle,Sliding Mode Control (SMC),5,0,0.0,1.0,,10.107950302028671,0.01545939823640388,8.823732567034822,0.15000000000000002,2.4524538394296042e-05,0.9812734082397003,0.0,0.0
stress,friction_and_damping,Feedback Linearization (PFL),5,5,1.0,1.0,5.13,10.152036270634634,0.04286055434320808,7.877779353903992,0.15000000000000002,0.0003323692776547988,0.985014985014985,0.0,0.0
stress,friction_and_damping,LQR,5,5,1.0,1.0,2.5,10.046579960754702,9.482646182645617e-06,11.969577352164215,0.15000000000000002,5.9575402293929814e-08,0.985014985014985,0.0,0.0
stress,friction_and_damping,Sliding Mode Control (SMC),5,0,0.0,1.0,,10.046579960754702,0.011870172073521288,8.687874179831045,0.15000000000000002,2.9177398758023845e-06,0.985014985014985,0.0,0.0
stress,impulse_disturbance,Feedback Linearization (PFL),5,5,1.0,1.0,3.34,10.222685712619898,0.0030112494683074598,9.1814538794082,0.15000000000000002,3.948250551515774e-05,0.985014985014985,0.0,0.0
stress,impulse_disturbance,LQR,5,5,1.0,1.0,3.0,10.107950302028671,0.00028534451185067896,13.359606509789483,0.15000000000000002,6.883155405123037e-06,0.985014985014985,0.0,0.0
stress,impulse_disturbance,Sliding Mode Control (SMC),5,0,0.0,1.0,,10.107950302028671,0.013903341276632794,9.850306307698373,0.15000000000000002,1.6877062697781948e-05,0.985014985014985,0.0,0.0
stress,large_angle_recovery,Feedback Linearization (PFL),5,0,0.0,0.0,,24.999999999999996,13.929655945562933,19.77376356291069,,12.023912817437859,0.0,0.0,1.0
stress,large_angle_recovery,LQR,5,0,0.0,0.0,,24.999999999999996,13.929655945562933,19.77376356291069,,12.023912817437859,0.0,0.0,1.0
stress,large_angle_recovery,Sliding Mode Control (SMC),5,0,0.0,0.0,,24.999999999999996,13.929655945562933,19.77376356291069,,12.023912817437859,0.0,0.0,1.0
stress,measurement_noise,Feedback Linearization (PFL),5,5,1.0,1.0,5.3,10.21875548829279,0.11936331391731583,13.647372100762324,0.15000000000000002,0.00023347609214666382,0.985014985014985,0.0,0.0
stress,measurement_noise,LQR,5,5,1.0,1.0,2.57,10.101890888101424,0.11653376461675506,22.705496604701104,0.15000000000000002,0.0006595745490971225,0.985014985014985,0.0,0.0
stress,measurement_noise,Sliding Mode Control (SMC),5,0,0.0,1.0,,10.101781764890376,0.11427579465991103,19.12347200726435,0.15000000000000002,0.0002675776391989702,0.985014985014985,0.0,0.0
stress,parameter_mismatch,Feedback Linearization (PFL),5,5,1.0,1.0,4.779999999999999,9.951778137328896,0.019457887835525888,9.25800329801165,0.15000000000000002,2.286983619593643e-05,0.985014985014985,0.0,0.0
stress,parameter_mismatch,LQR,5,5,1.0,1.0,2.48,9.83878170297692,1.1994745911567558e-05,14.92004466313207,0.15000000000000002,2.1955536899429838e-07,0.985014985014985,0.0,0.0
stress,parameter_mismatch,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.83878170297692,0.0092640310339802,9.912440396687902,0.15000000000000002,8.783885461890564e-05,0.985014985014985,0.0,0.0
